Score	Penalty	Country	Name
63	-4795658245	Japan	yappy
63	-4841932487	Japan	Capp
63	-4859464002	Japan	shion_
63	-4867688398	Japan	KTR
63	-4870678991	Japan	fuppy0716
63	-4880980971	Japan	macaroni
63	-4903972854	Japan	KKT89
63	-4946707327	Japan	mijinko
63	-4948980387	Japan	starline
63	-4998401541	Japan	horiso0921
63	-5005125539	Japan	kcz
63	-5010670493	Japan	blcn
63	-5060362779	Japan	Pro_ktmr
63	-5060754011	Japan	tomarint
63	-5061105218	Japan	yatuba
63	-5080480654	Japan	mechanicalpenciI
63	-5093437588	Japan	maaronG
63	-5107985699	Japan	hyttcnkf
63	-5126479492	Japan	haiu
63	-5146631002	Japan	kami634
63	-5149012507	Japan	yuma220284
63	-5151318101	Japan	UminchuR
63	-5156807289	Japan	yak_ex
63	-5157657427	Japan	hamayanhamayan
63	-5166677971	Japan	Yukly
63	-5205216440	Japan	GoldIngot
63	-5233058217	Japan	NOSS
63	-5271095872	Japan	a2stnk
63	-5290139678	Japan	tempura0224
63	-5301908705	Japan	spihill
63	-5302487553	Japan	31536000
63	-5309864029	Japan	QCFium
63	-5330345217	Japan	otera
63	-5330994709	Japan	dn6049949
63	-5344158466	Japan	rabot
63	-5355509578	Japan	moritaoy
63	-5366739824	Japan	niuez
63	-5389745879	Japan	tyu_ru
63	-5390070130	Japan	tanakh
63	-5402421134	Japan	kyon2326
63	-5430222869	Japan	xsd
63	-5436262835	Japan	Katu2ou
63	-5447881948	Japan	tamato
63	-5454783681	Japan	nooka
63	-5458060770	Japan	mutty
63	-5464740371	Japan	sekiya9311
63	-5465516689	Japan	soshun
63	-5477628432	Japan	LinusMK
63	-5493197040	Japan	c_r_5
63	-5526803379	Japan	Ktya
63	-5667851604	Japan	kenkoooo
63	-5678162191	Japan	monyone
63	-5764539325	Japan	pengin
63	-5825478126	Japan	plcherrim
63	-5874740577	Japan	rokahikou
63	-5902521888	Japan	nehan_der_thal
63	-6067334066	Japan	takuk
63	-6181663791	Japan	psmf1
63	-6263921698	Japan	Doo1t
50	-4176794081	Japan	daisyo
47	-5481696064	Japan	sifi_border
45	-1488303680	Japan	kzyKT
45	-2384436527	Japan	ngtkana
45	-2458933210	Japan	sasaki
45	-3482740365	Japan	wattaihei
45	-3500991026	Japan	tomo0608
45	-3723213530	Japan	hamath
45	-3734319991	Japan	shnafl
45	-3911845819	Japan	raoZ
45	-4049065043	Japan	HayatoY
45	-4105977841	Japan	rabbit_TR
45	-4237548348	Japan	Mitsuo
45	-4239219036	Japan	prd_xxx
45	-4355712386	Japan	knshnb
45	-4425626924	Japan	cider
45	-4554750471	Japan	mikanalpha
45	-4570804167	Japan	shirakia
45	-4639301848	Japan	mdj982
45	-4680162287	Japan	izumo
45	-4829955136	Japan	yukidaruma6
45	-4853644319	Japan	kojingharang
45	-4862408719	Japan	myusa2
45	-4866841970	Japan	nkmrtmnr
45	-4968812174	Japan	peichan13
45	-4974232183	Japan	Eldora
45	-5058879525	Japan	homesentinel
45	-5117716874	Japan	null0124
45	-5124913226	Japan	chikkun0310
45	-5179984761	Japan	shogier
45	-5190056825	Japan	rsk0315
45	-5408943851	Japan	s.sh
45	-5444281479	Japan	kinoren
45	-5474544042	Japan	sangonana
45	-5542586621	Japan	T49E2
45	-5630235546	Japan	kei1107
45	-5642079150	Japan	N_hara
45	-5652443898	Japan	AC961009
45	-5725053387	Japan	iwachoco
45	-5851578744	Japan	thaim24
45	-5865136065	Japan	answeranswer
42	-3204151025	Japan	hibati
40	-3010144589	Japan	taklimone
40	-3708023350	Japan	MASATO338
40	-3780321490	Japan	qergn
40	-3840661499	Japan	Germanpotato
40	-4511100076	Japan	lemon_
40	-4677991961	Japan	Kiri8128
40	-4805932708	Japan	ecto0310
40	-5109193645	Japan	cake.senbei
40	-5135280341	Japan	uturyo27182
40	-5365957315	Japan	kawap23
40	-5880085358	Japan	side_TT
40	-6556862611	Japan	Noimin
37	-3445173947	Japan	idsigma
37	-4361676670	Japan	suhirotaka
37	-4722400365	Japan	AizukiKoh
35	-905321167	Japan	mawatadeshimeru
35	-1583652244	Japan	Eulderna
35	-2191022679	Japan	kyomukyomupurin
35	-2595020849	Japan	tai_yaki
35	-2668955722	Japan	parsely
35	-2760600417	Japan	fu9103
35	-3182771352	Japan	obancha
35	-3242004741	Japan	drken
35	-3486315474	Japan	fugusuki
35	-3614780286	Japan	furuya1223
35	-3979102604	Japan	yasufumy
35	-3979834391	Japan	naoya_t
35	-4162626068	Japan	kamojiro
35	-4379800269	Japan	granddaifuku
35	-4437322247	Japan	yamayama
35	-4520554471	Japan	Zu_rin
35	-4555723663	Japan	Trietta
35	-4561692324	Japan	dekokun
35	-4622358310	Japan	RKato
35	-4773321445	Japan	horoyoisawa
35	-4891660293	Japan	kibi62
35	-4931126419	Japan	Programmerryoki
35	-4994604801	Japan	osa9
35	-5007443497	Japan	glucose
35	-5045233937	Japan	dlmasa
35	-5062215280	Japan	gosu_hiroo
35	-5280891419	Japan	majiang
35	-5281041081	Japan	koyumeishi
35	-5296292435	Japan	opt
35	-5957547896	Japan	johnnyhibiki
35	-6524215166	Japan	n4o847
31	-2878515701	Japan	Moketi
31	-3473254617	Japan	sh_mug
31	-4346558981	Japan	Ogtsn99
31	-4429102360	Japan	saiton03
31	-5394486344	Japan	m203h
31	-5459712906	Japan	sono8
31	-5569413652	Japan	obakyan
31	-5719169650	Japan	kanra824
28	-1283693216	Japan	T1610
28	-1313412956	Japan	wagtail
28	-1329943501	Japan	tsukuno
28	-1429372492	Japan	TangentDay
28	-1441110823	Japan	nomeaning
28	-1494203990	Japan	edward2031
28	-1531878131	Japan	rniya
28	-1550301534	Japan	ttsuki
28	-1583250120	Japan	qxa
28	-1614979595	Japan	tomohiro
28	-1673612373	Japan	legosuke
28	-1693634233	Japan	kenimo
28	-1722417459	Japan	phyllo
28	-1756497599	Japan	habara_k
28	-1781977012	Japan	jasy
28	-1926891963	Japan	tanzaku
28	-2080568120	Japan	emakryo
28	-2089969183	Japan	sky58
28	-2139143919	Japan	cplusplusonly
28	-2343503069	Japan	hiromi.ayase
28	-2386507835	Japan	yuya178
28	-2392988743	Japan	chiguri
28	-2409271439	Japan	TakaakiUmezu
28	-2423454649	Japan	ttkkggww
28	-2430262014	Japan	nwin
28	-2556062331	Japan	bobuhiro11
28	-2645187720	Japan	hanyu
28	-2673096953	Japan	iry
28	-2733575850	Japan	shell.wataru
28	-2734177955	Japan	cedretaber
28	-2742544729	Japan	ShanOvery
28	-2787656146	Japan	endered
28	-2793313547	Japan	micheeeeell
28	-2800837024	Japan	ameise
28	-2803878748	Japan	gyouzasushi
28	-2839298488	Japan	transang
28	-2874128067	Japan	auauauaua
28	-2942583635	Japan	recososo
28	-2950965201	Japan	yochan
28	-2962054392	Japan	kagasan
28	-2981760798	Japan	mikito
28	-2994922523	Japan	tkondo
28	-3016021773	Japan	tkmst201
28	-3056859382	Japan	zaki_joho_
28	-3075039298	Japan	clotz.sugar
28	-3093499315	Japan	patahene
28	-3136445110	Japan	mickie895
28	-3153450878	Japan	aquaCS
28	-3200481175	Japan	toyama
28	-3213860306	Japan	esupi
28	-3231039298	Japan	kawara_y
28	-3245814396	Japan	kumalimak
28	-3270122394	Japan	kazuhitot
28	-3286978803	Japan	centipede_human
28	-3303103786	Japan	poohbear
28	-3436990529	Japan	sekiye
28	-3463355197	Japan	kalpturer
28	-3467905737	Japan	totori
28	-3510546062	Japan	kenta2997
28	-3595565624	Japan	oevl
28	-3649318730	Japan	Bonner
28	-3655070530	Japan	nakari1124
28	-3655160075	Japan	likr
28	-3678265818	Japan	torisasami
28	-3704443602	Japan	bomac1
28	-3735865648	Japan	sinatori
28	-3819448150	Japan	konjo
28	-3853100445	Japan	tokusakurai
28	-3887841207	Japan	hasipon
28	-3961561308	Japan	Luzhiled
28	-3963129661	Japan	ytkn
28	-4000826483	Japan	catupper
28	-4011442849	Japan	trasta
28	-4012300381	Japan	addeight
28	-4034047678	Japan	sbite
28	-4040036231	Japan	dbftdiyoeywga
28	-4096212836	Japan	st2
28	-4115884467	Japan	jingfang
28	-4185886093	Japan	shamio
28	-4314780946	Japan	rokulo
28	-4378569162	Japan	tttkm
28	-4434648289	Japan	chakku_000
28	-4440444821	Japan	wa1t_sush1
28	-4466473700	Japan	teruss
28	-4472963569	Japan	ryuan71
28	-4527119736	Japan	cojna
28	-4530006366	Japan	tomoya
28	-4547776097	Japan	harady
28	-4567109997	Japan	Naochan
28	-4591250344	Japan	hirokazu1020..
28	-4618754780	Japan	ikom
28	-4694910381	Japan	Startcpp
28	-4740270002	Japan	w0mbat
28	-4755721522	Japan	kyuridenamida
28	-4813303562	Japan	Y.Senoh
28	-4830793645	Japan	hakuchan
28	-4880763861	Japan	Imperi
28	-4901074990	Japan	bbge
28	-4997074868	Japan	ororog
28	-5043570604	Japan	cleantted
28	-5077125217	Japan	ktateish
28	-5141377170	Japan	commy
28	-5147868161	Japan	tech_kegani
28	-5159242457	Japan	kanpurin
28	-5200714607	Japan	motsu
28	-5245335735	Japan	kenichi.t
28	-5364985591	Japan	matsu7874
28	-5429658313	Japan	yoshiteru
28	-5928529555	Japan	Alt3
28	-6060076770	Japan	ir_1st_vil
28	-6169152280	Japan	vtr_coder
13	-3219014744	Japan	sensaur
13	-3780414026	Japan	molety
13	-4260185116	Japan	tgm0417
13	-4731392936	Japan	ganmodokix
13	-5006169182	Japan	haru_woodline
13	-5206624563	Japan	Jupytor
13	-5276670048	Japan	hiroaki0615
13	-5757003717	Japan	katom
13	-5883251931	Japan	comeme
13	-6021092424	Japan	masutech16
13	-7123694191	Japan	crom
10	-1364204726	Japan	yapoo
10	-1605759687	Japan	otazami
10	-1722216525	Japan	idaten459
10	-1731481835	Japan	AokabiC
10	-1749339267	Japan	masafumi
10	-1768512514	Japan	dismob
10	-1890765888	Japan	hiro116s
10	-2363900837	Japan	OutLine
10	-2584220469	Japan	rika0384
10	-2674033383	Japan	noribentooooooh
10	-2676946422	Japan	Nekomimimi
10	-2684427984	Japan	TAB0905
10	-2702549148	Japan	masayoshi64
10	-2727431200	Japan	nemupm
10	-2831434239	Japan	peroon
10	-2850420622	Japan	pontaryagin
10	-2986489220	Japan	tkhrssk
10	-3028316907	Japan	nonsava
10	-3062724769	Japan	ogma
10	-3118895625	Japan	yosh1
10	-3157893866	Japan	A0iro
10	-3264311360	Japan	ChiyosBigDragon
10	-3363450251	Japan	rtia1227
10	-3551035498	Japan	tmsausa
10	-3554592273	Japan	Mazesoba
10	-3569431741	Japan	kkktym
10	-3650628627	Japan	ho-ri
10	-3714676906	Japan	Knk_kei
10	-3726062980	Japan	minszsz
10	-3824778762	Japan	Sairi
10	-3933417122	Japan	eityans
10	-3946106560	Japan	jyesr
10	-3954133856	Japan	acguy
10	-3970419927	Japan	monkukui
10	-3999395268	Japan	kjnh10
10	-4095148360	Japan	y-meguro
10	-4157983567	Japan	kurakura
10	-4230457170	Japan	m-book
10	-4253602983	Japan	outk
10	-4293199074	Japan	kichi2004
10	-4304570377	Japan	sojisan
10	-4306025673	Japan	chie
10	-4530530295	Japan	threecourse
10	-4557375958	Japan	TrpFrog
10	-4633121797	Japan	stan255
10	-4635470271	Japan	jjjjjjjtgpptmjj
10	-4653591340	Japan	haruhisa.ishida@gmail.com
10	-4730206814	Japan	LuckyHappy0108
10	-4750058571	Japan	shikixyx
10	-4772861532	Japan	misora192
10	-4793186022	Japan	mina2000gt
10	-4815923998	Japan	harmokey
10	-5087590780	Japan	yana87
10	-5125005743	Japan	hir810
10	-5283987080	Japan	pione
10	-5505889293	Japan	tetsuro1919
10	-6074480245	Japan	masas
8	-2138561756	Japan	monman
8	-2663254584	Japan	daigakupotato
8	-3299690298	Japan	yosho18
8	-3849806223	Japan	ta7uw
8	-4298763276	Japan	wakuwinmail
8	-4507582421	Japan	ukohank517
8	-5109905850	Japan	mokazaki923
8	-5372206349	Japan	aya_se
8	-5479327061	Japan	pooka
8	-5484431463	Japan	maguro_tuna
5	-926521085	Japan	ogadra
5	-949102944	Japan	tktk_snsn
5	-1016391880	Japan	kakeyamay
5	-1110553676	Japan	eggplants
5	-1144469104	Japan	syunsuke
5	-1301222148	Japan	pitsu
5	-1346940990	Japan	hiroa
5	-1531079415	Japan	vierbein
5	-1608890659	Japan	starwand
5	-1627704529	Japan	minetosh
5	-1692658564	Japan	Koutetsu666
5	-1735001451	Japan	hirakuma
5	-2096411590	Japan	sasaki0487
5	-2247053381	Japan	taka99
5	-2258698535	Japan	ueda.keisuke
5	-2305549074	Japan	yutas
5	-2320797497	Japan	addie9000
5	-2343049577	Japan	hige
5	-2411987117	Japan	zaurus
5	-2417479126	Japan	shun2741
5	-2462765121	Japan	torajiro
5	-2480846183	Japan	kilattoeruru
5	-2540526116	Japan	sekai
5	-2831634035	Japan	hamuhei4869
5	-2844876264	Japan	MasaTam81
5	-2866794255	Japan	unosss
5	-3282755390	Japan	agw02010
5	-3288089717	Japan	amami
5	-3375533546	Japan	tokur
5	-3375574286	Japan	a_ab_abc
5	-3430439978	Japan	komainu
5	-3442358729	Japan	nicolen
5	-3583198608	Japan	yasutomo57jp
5	-3644202405	Japan	RogueEngineer
5	-4057912373	Japan	naochobin
5	-4096834619	Japan	uematsu
5	-4177076633	Japan	ngt
5	-4185417165	Japan	Ushi-n
5	-4202253099	Japan	lyoz
5	-4311503010	Japan	Mavo-1984
5	-4362480777	Japan	ryo_n
5	-4416698388	Japan	tmtmt
5	-4460207336	Japan	jskt
5	-4559042049	Japan	yosswi414
5	-4569797797	Japan	esaka
5	-4619537847	Japan	cookiezby
5	-4624798662	Japan	ikanago
5	-4697130934	Japan	naho
5	-4789675295	Japan	hotpepsi
5	-4846070013	Japan	hosshii
5	-4905746547	Japan	S.aibara
5	-4937469188	Japan	muatotto
5	-4986287847	Japan	hare17
5	-5055011931	Japan	lynmisakura
5	-5204449320	Japan	tmochizuki
5	-5240453630	Japan	Tabt2
5	-5419444280	Japan	bokken
5	-6370398094	Japan	km
3	-1796250428	Japan	suzuken_w
3	-2664388352	Japan	wakapaijazz
3	-3081014568	Japan	ljq0002
3	-4645264340	Japan	simkaren
0	0	Japan	Hachimori
0	0	Japan	KowerKoint
0	0	Japan	Miki33
0	0	Japan	Takoshi
0	0	Japan	aacorder
0	0	Japan	aki-nasu
0	0	Japan	cocomoff
0	0	Japan	fiord
0	0	Japan	fukuchi
0	0	Japan	gmm_tea
0	0	Japan	gobaba
0	0	Japan	higa
0	0	Japan	hiroshim
0	0	Japan	hjmkt3126
0	0	Japan	ihahi
0	0	Japan	joechtr
0	0	Japan	kangｰjp
0	0	Japan	kavo
0	0	Japan	keigo0205
0	0	Japan	keimo
0	0	Japan	koujm
0	0	Japan	kuribo
0	0	Japan	kuroku
0	0	Japan	kyo1
0	0	Japan	leo2
0	0	Japan	maru65536
0	0	Japan	masa_aa
0	0	Japan	midori27
0	0	Japan	nogi
0	0	Japan	ntk_ta01
0	0	Japan	oonishi
0	0	Japan	pedish
0	0	Japan	pontsuyo
0	0	Japan	py_uni_0
0	0	Japan	rajyan
0	0	Japan	rootbook43
0	0	Japan	sakai
0	0	Japan	sawamaru
0	0	Japan	sksim
0	0	Japan	takemo
0	0	Japan	tamacjp
0	0	Japan	tanimanianima364
0	0	Japan	tkcross
0	0	Japan	togatoga
0	0	Japan	turuturu
0	0	Japan	vzvu3k6k
0	0	Japan	xyz600
0	0	Japan	yamamu
0	0	Japan	yuuta0909
